Date,Type,Description,Matter,User,Quantity,Rate,NonBillable,Billable
3/4/2026,Representing clients in custody hearings,Custody hearing representation – insufficient guidance provided.,"01234-Wong
""Non-Billable"" Time Tracking",Emma Brown,1.7981994165287545,375,674.324781198283,0
3/4/2026,Mediating property division settlements,"Mediating property division settlements involves facilitating confidential, constructive discussions between client parties to reach a mutually agreeable resolution for the equitable distribution of shared assets, including real estate, financial interests, personal possessions, and other tangible or intangible property, based on legal obligations, marital dynamics, and applicable state guidelines. The process includes identifying and assessing relevant assets, clarifying ownership and contributions, and working toward settlement options that balance justice, fairness, and enforceability. As an attorney, this services support clients through structured communication, guidance, and active advocacy within negotiation phases. All discussions remain client-confidential and are guided by relevant divorce or family law principles.","90123-Keller
""Billable"" Time Tracking",Jessica Reynolds,0.7079837197199759,375,0,265.49389489499094
3/4/2026,Mediating property division settlements,"Mediating property division settlements involves facilitating discussions between disputing parties to reach a mutually acceptable agreement on the fair distribution of assets acquired during marriage or shared relationships. This includes active listening, conflict resolution, and guidance in clarifying asset values, ownership interests, and financial responsibilities to ensure a comprehensive and balanced outcome. The mediator serves to de-escalate tension, preserve relations, and provide neutral counsel without imposing judgment. The process culminates in a documented, written resolution reflecting all finalized decisions on property distribution.","01234-Anderson
""Billable"" Time Tracking",Michael Jackson,1.5004334122268679,375,0,562.6625295850755
3/4/2026,Mediating property division settlements,"Mediating property division settlements involves guiding conflicting parties through negotiation to reach a voluntary and equitable agreement regarding the division of assets and liabilities, ensuring confidentiality, facilitating productive discussions, and identifying reasonable compromise values for real estate, financial accounts, and personal property within marital or divorce proceedings. The process includes active listening, identifying core issues, structuring negotiation points, and drafting proposed settlement terms that reflect mutual interest and legal compliance. This service ensures that the settlement is consensual, enforceable, and aligned with applicable laws governing property division. The goal is to avoid prolonged litigation by enabling efficient resolution through structured dialogue between the involved parties.","12345-Xavier
""Billable"" Time Tracking",John Anderson,1.0500608393551425,375,0,393.7728147581784
3/4/2026,Mediating property division settlements,"Mediation services related to the division of marital or family property between parties to a civil divorce or separation agreement, facilitated to achieve a mutually agreeable resolution without formal adjudication by a judge. The session focused on evaluating assets, liabilities, and interests held by each party and establishing equitable, binding settlement terms. The mediator ensured all parties understood their legal positions and facilitated structured discussion to promote fair and reasonable allocations. This activity adheres to professional mediation standards and supports voluntary, collaborative outcomes in private dispute resolution.","56789-Gardner
""Billable"" Time Tracking",Michael Jackson,0.36930421548985937,375,0,138.48908080869725
3/4/2026,Internal meeting,"Attended and facilitated a formal internal company meeting to discuss current operational strategies, team accountability structures, and pending compliance obligations. The session included a detailed overview of project timelines, resource allocation, and identified action items assigned to specific departments. Participation involved structured deliberation, documentation of key decisions, and communication of next steps to ensure consistent internal workflow alignment. The purpose was to strengthen internal coordination and maintain accountability across legal functions.","67890-Hall
""Billable"" Time Tracking",Sarah Williams,0.4417484192760357,375,0,165.65565722851338
3/4/2026,Drafting prenuptial agreements,Prenuptial agreement draft work performed. Initial outlines provided. Missing clauses and provisions. Completion incomplete.,"34567-Zimmerman
""Non-Billable"" Time Tracking",Jessica Reynolds,0.35931802370124344,375,134.74425888796628,0
3/4/2026,Internal meeting,"Internal meeting wat hold by me to discuse the futuhr plans oour office. I forgot to write down th e key points of what was say but thay wa not very clear at aall. The room was locatd in thrid flor and i belive thar no one had a laptop to view prasentation. There were 4 peps present, each had a difrenent name but i couldno recall what was theirs.","34567-Zimmerman
""Non-Billable"" Time Tracking",James Wilson,0.4858118144937975,375,182.17943043517405,0
3/4/2026,Drafting prenuptial agreements,drew up some prenup tyes for couples thats gonne marry ina few monthis lol i thinl tay i was so bad but i did it real shpily maybe just had ta do it a ltttle faster and it might've waoked fine like just put em in a note book but no the paper had too may facks that made the whole thing all squize and bumpy im pretty skeed now though i hope its alright for the law.,"01234-Lindsey
""Non-Billable"" Time Tracking",Michael Jackson,0.5300911997486724,375,198.78419990575213,0
3/4/2026,Representing clients in custody hearings,"Providing legal representation to clients during custody hearings, including preparation of legal documentation, oral advocacy, cross-examination of witnesses, and negotiation of settlements in accordance with child custody statutes and legal standards. Services extend to court appearances, presentation of evidence, and effective argumentation to safeguard the client’s best interests and legal rights. Representations ensure adherence to applicable family law regulations and the welfare priorities of the involved child. Attention is given to client-specific circumstances, ensuring clear, compassionate, and strategic advocacy throughout each proceeding.","90123-Vargas
""Billable"" Time Tracking",Jessica Reynolds,0.9063848171780808,375,0,339.8943064417803
3/4/2026,Representing clients in custody hearings,reprisenting clienys in cusdy hearnig thts is gots of the rite to get a sittin whil thar ryt and i dont thun thay ralyl informent in the lits to do it right waiy thts is juss abit too much like wold a gots no clue what a cusdtys is or how to rai it up. i was sent by a old fahreldy to be the olmst wih them to gret and gathre all thay mst of the lates.,"78901-Irving
""Non-Billable"" Time Tracking",Michael Jackson,1.4650149132204815,375,549.3805924576806,0
3/4/2026,Mediating property division settlements,mediating proppertee division settellement is a very vague and kinda kinda not quite done task where i did not realy fix nothin to much in terms of actual agree and both partis wais jus speak to each other and then disconect and move on whic the wold make sene when it rite. this waw no proper structred nor even a doc to record it all. just some rambeled words about how its all okay but really it wasn't done properli and there is not realy an effictive end point. i am suspenst to do not it in the future but maybe just a hint that it should have bee a big legal fainl thing like some thing.,"67890-Smith
""Non-Billable"" Time Tracking",Sarah Williams,1.6958280183025805,375,635.9355068634677,0
